level,text_korean,text_english,source,,원본: [스토리즈] 2607_지문 (한글타자).xlsm
1,"여러분은 아침을 먹어요?
저는 매일 아침을 먹어요.
사과, 계란을 먹어요.
건강에 좋아요.
제 친구는 아침에 우유를 마셔요.
저는 우유를 안 마셔요.
배가 아파요.
그래서 물을 마셔요.
건강에 좋아요.","Do you eat breakfast?
I eat breakfast every day.
I  eat apples and eggs.
It's good for your health.
My friend drinks milk in the morning.
I don't drink milk.
My stomach hurts.
So I drink water.
It's good for your health.",TTMIK Stories Level 1 Articles 아침을 먹어요,,
1,"지난 주말에 제주도에 갔어요.
제주도에 산이 있어요.
그 산의 이름은 한라산이에요.
산이 예뻐요.
저는 등산을 하고 싶었어요.
그렇지만 날씨가 안 좋았어요.
비가 왔어요.
저는 등산을 안 했어요.
산 근처에서 산책했어요.
그리고 사진을 찍었어요.","I went to Jeju Island last weekend.
There is a mountain on Jeju Island.
The name of that mountain is Hallasan.
The mountain is beautiful.
I wanted to go hiking.
But the weather was not good.
It rained.
I didn't go hiking.
I took a walk near the mountain.
And I took pictures.",TTMIK Stories Level 1 Articles 제주도에 갔어요,,
1,"어제 한국에서 야구장에 처음 갔어요.
저는 사실 야구를 잘 몰라요.
하지만 야구장은 아주 재미있었어요.
야구장에서 치킨을 먹었어요.
야구장에 사람들이 아주 많았어요.
같이 노래했어요.
정말 기분이 좋았어요.","Yesterday, I went to a baseball stadium in Korea for the first time.
To be honest, I don't really know much about baseball.
But being at the stadium was really fun.
I ate chicken at the baseball stadium.
There were a lot of people at the baseball stadium.
We sang together.
I felt really good.",TTMIK Stories Level 1 Articles 야구장에서,,
1,"저는 강아지, 고양이가 있어요.
강아지는 매일 산책해요.
그렇지만 고양이는 산책하지 않아요.
강아지는 운동을 좋아해요.
그렇지만 고양이는 운동을 좋아하지 않아요.
강아지는 같이 놀고 싶어 해요.
그렇지만 고양이는 혼자 놀고 싶어 해요.","I have a dog and a cat.
The dog goes for a walk every day.
However, the cat does not go for walks.
The dog likes exercise.
However, the cat does not like exercise.
The dog wants to play together.
However, the cat wants to play alone.","TTMIK Stories Level 1 Articles 강아지, 고양이",,
1,"돈이 많아요.
그러면 뭐 하고 싶어요?
저는 백화점에 가고 싶어요.
백화점에서 쇼핑하고 싶어요.
가방을 사고 싶어요.
그리고 여행을 하고 싶어요.
세계 여행을 하고 싶어요.
세계의 음식을 모두 먹고 싶어요.
사진을 많이 찍고 싶어요.","I have a lot of money.
Then what do you want to do?
I want to go to a department store.
I want to shop at the department store.
I want to buy a bag.
And I want to travel.
I want to go on a world trip.
I want to eat all the foods of the world.
I want to take a lot of photos.",TTMIK Stories Level 1 Articles 돈이 많아요,,
1,"한국 엘리베이터에 가끔 4층이 없어요.
옛날에 한국 사람은 '4'를 좋아하지 않았어요.
왜요?
4는 '사망'의 '사'랑 발음이 같아요.
'사망'은 뭐예요?
'죽다'예요.
그래서 '4'를 쓰지 않아요.
'F'를 써요.
F층이 4층이에요.","Sometimes, there is no 4th floor in Korean elevators.
In the past, Korean people didn't like the number '4.'
Why?
The number 4 and the 'sa' in 'death' have the same pronunciation.
What does 'samang' (death) mean?
It means 'to die.'
That's why they don't use the number '4.'
They use 'F.'
The F floor is the 4th floor.",TTMIK Stories Level 1 Articles 엘리베이터에 4층이 없어요,,
1,"여러분의 나라는 크리스마스에 학교에 가요?
회사에 가요?
쉬어요?
한국은 크리스마스에 쉬어요.
일을 하지 않아요.
학교에 가지 않아요.
중국, 일본, 베트남은 크리스마스에 쉬지 않아요.
크리스마스에 일해요.","In your country, do you go to school on Christmas?
Do you go to work?
Do you get the day off?
In Korea, people rest on Christmas.
People do not work.
People do not go to school.
In China, Japan, and Vietnam, people do not rest on Christmas.
People work on Christmas.",TTMIK Stories Level 1 Articles 크리스마스에 일해요,,
1,"아이가 태어났어요.
엄마는 너무 힘들어요.
너무 아파요.
어떻게 해요?
한국에서는 미역국을 먹어요.
미역국은 건강에 아주 좋아요.
엄마는 힘이 나요.
그래서 한국 사람은 생일에 미역국을 먹어요.
그리고 엄마를 생각해요.
엄마한테 감사해요.","A baby was born.
Mom is having a very hard time.
It hurts a lot.
What should (we/I) do?
In Korea, people eat seaweed soup.
Seaweed soup is very good for health.
Mom gains strength.
So, Korean people eat seaweed soup on their birthdays.
And they think of their mom.
They are thankful to their mom.",TTMIK Stories Level 1 Articles 생일에 미역국을 먹어요,,
1,"한국에서는 아이의 첫 생일에 파티를 해요.
그 파티의 이름은 ‘돌잔치'예요.
아이 앞에 여러 가지 물건을 둬요.
그리고 아이가 물건을 하나 잡아요.
돈을 잡아요?
부자가 돼요.
공을 잡아요?
운동선수가 돼요.
마이크를 잡아요?
연예인이 돼요.
이렇게 생각해요.","In Korea, people have a party for a child's first birthday.
The name of that party is 'doljanchi.'
They place various objects in front of the child.
And the child grabs one of the objects.
Do they grab the money?
They become rich.
Do they grab the ball?
They become an athlete.
Do they grab the microphone?
They become a celebrity.
This is how people think.",TTMIK Stories Level 1 Articles 첫 생일 파티를 해요,,
1,"우유를 사고 싶어요.
마트에 갔어요.
마트에 물건이 아주 많았어요.
저는 물건을 구경했어요.
과자가 아주 쌌어요.
과자를 샀어요.
라면이 쌌어요.
라면도 샀어요.
그리고 집에 왔어요.
물건을 정리했어요.
아! 우유를 안 샀어요.
다시 마트에 가요.","I want to buy milk.
I went to the store.
There were a lot of products in the store.
I browsed the products.
The snacks were very cheap.
I bought snacks.
The ramen was cheap.
I also bought ramen.
And then I came home.
I organized the products.
Oh! I didn't buy milk.
I go to the store again.",TTMIK Stories Level 1 Articles 다시 마트에 가요,,
