level,text_korean,text_english,source,parts of speech
2,외우다,to memorize,My First 500 Korean Words Book 2,동사
3,반복하다,to repeat,My First 500 Korean Words Book 2,동사
2,점수,score,My First 500 Korean Words Book 2,명사
3,목표,goal,My First 500 Korean Words Book 2,명사
3,이루다,to achieve,My First 500 Korean Words Book 2,동사
3,최선,(doing) the one's best,My First 500 Korean Words Book 2,명사
3,상황,situation,My First 500 Korean Words Book 2,명사
3,조건,condition,My First 500 Korean Words Book 2,명사
3,가난하다,to be poor,My First 500 Korean Words Book 2,형용사
3,뛰어나다,to be excellent,My First 500 Korean Words Book 2,형용사
2,능력,ability,My First 500 Korean Words Book 2,명사
3,긍정적,positive,My First 500 Korean Words Book 2,명사
2,태도,attitude,My First 500 Korean Words Book 2,명사
2,출근하다,to go to work,My First 500 Korean Words Book 2,동사
2,선배,senior,My First 500 Korean Words Book 2,명사
3,인쇄하다,to print,My First 500 Korean Words Book 2,동사
3,파일,file,My First 500 Korean Words Book 2,명사
3,삭제하다,to delete,My First 500 Korean Words Book 2,동사
3,프린터,printer,My First 500 Korean Words Book 2,명사
3,한참,for a long time,My First 500 Korean Words Book 2,부사
2,완전히,completely,My First 500 Korean Words Book 2,부사
3,포기하다,to give up,My First 500 Korean Words Book 2,동사
3,모니터,monitor,My First 500 Korean Words Book 2,명사
2,세우다,to make (plan),My First 500 Korean Words Book 2,동사
2,그대로,as it is,My First 500 Korean Words Book 2,부사
2,지키다,to keep,My First 500 Korean Words Book 2,동사
3,업무,work,My First 500 Korean Words Book 2,명사
3,진행하다,to progress,My First 500 Korean Words Book 2,동사
3,예상하다,to expect,My First 500 Korean Words Book 2,동사
3,포함하다,to include,My First 500 Korean Words Book 2,동사
3,여유롭다,to be relaxed,My First 500 Korean Words Book 2,형용사
4,만큼,as ... as,My First 500 Korean Words Book 2,명사
3,맡다,to take on,My First 500 Korean Words Book 2,동사
3,경제,economy,My First 500 Korean Words Book 2,명사
3,아끼다,to save,My First 500 Korean Words Book 2,동사
2,월급,salary,My First 500 Korean Words Book 2,명사
2,전부,all,My First 500 Korean Words Book 2,명사
2,일부,part,My First 500 Korean Words Book 2,명사
3,잔돈,small change,My First 500 Korean Words Book 2,명사
2,모으다,to gather,My First 500 Korean Words Book 2,동사
3,계좌,account,My First 500 Korean Words Book 2,명사
3,총,total,My First 500 Korean Words Book 2,명사
3,금액,money,My First 500 Korean Words Book 2,명사
