level,text_korean,text_english,source
1,ㅗ,,
1,ㅓ,,
1,ㅏ,,
1,ㅣ,,
1,ㅛ,,
1,ㅕ,,
1,ㅑ,,
1,ㅐ,,
1,ㅔ,,
1,ㅠ,,
1,ㅜ,,
1,ㅡ,,
2,ㅒ,,
2,ㅖ,,
3,ㅘ,,
3,ㅙ,,
3,ㅝ,,
3,ㅞ,,
3,ㅚ,,
3,ㅟ,,
3,ㅢ,,
